"YR_MTH","VEHICLE_CLASS_CODE","CODE","NO_VALID_LEARNER","NO_VALID_FULL_LIC","NO_EXP_LEARNER","NO_EXP_NOVER_3YR","NO_EXP_OVER_3YR"
"201405","28","18",4676,190204,111384,3843,45404
"201405","2","3",5097,256139,74158,7457,66244
"201405","9","5",3304,182779,52099,4429,50785
"201405","31","15",0,0,0,0,4
"201405","4","9",5649,134409,163751,1692,13723
"201405","10","4",3300,187802,51789,4615,54541
"201405","27","2",54398,1377063,486361,39079,582388
"201405","32","17",101,22308,1100,208,2110
"201405","1","1",65806,2022917,365218,59913,672209
"201405","6","21",0,11877,0,70,394
"201405","3","6",0,217213,0,4851,57181
"201405","30","10",5649,134533,163884,1927,17892
"201406","9","5",3409,182934,52181,4422,50895
"201406","30","10",5814,134742,164015,1919,17938
"201406","3","6",0,217322,0,4805,57321
"201406","31","15",0,0,0,0,4
"201406","4","9",5814,134622,163882,1687,13762
"201406","10","4",3405,187954,51871,4606,54656
"201406","7","16",738,31094,4250,47,3822
"201406","29","19",7206,102521,198807,3462,41654
"201406","2","3",5082,256885,74242,7543,66394
"201406","34","22",5050,256879,64334,7541,40301
"201406","28","18",4789,190368,111527,3836,45492
"201406","6","21",0,11938,0,73,394
"201406","1","1",66830,2028476,366046,59636,673482
"201406","32","17",117,22378,1100,207,2114
"201406","33","20",1527,43968,51808,383,2777
"201406","27","2",54999,1379397,487749,38732,583221
"201407","2","3",5110,257732,74416,7664,66529
"201407","3","6",0,217395,0,4822,57422
"201407","10","4",3444,188067,52026,4628,54759
"201407","4","9",5851,134818,164142,1698,13791
"201407","27","2",55921,1381908,489293,38485,583977
"201407","1","1",68015,2034726,367081,59429,674675
"201407","31","15",0,0,0,0,4
"201407","7","16",756,31147,4251,48,3823
"201407","9","5",3451,183052,52335,4445,50992
"201407","33","20",1554,43999,51893,388,2784
"201407","34","22",5080,257726,64508,7662,40437
"201407","29","19",7252,102543,199132,3472,41731
"201407","30","10",5851,134928,164275,1930,17977
"201407","32","17",122,22452,1105,211,2117
"201407","6","21",0,12012,0,74,397
"201407","28","18",4824,190540,111702,3846,45579
"201408","28","18",4947,190682,111830,3859,45664
"201408","6","21",0,12072,0,71,399
"201408","31","15",0,0,0,0,4
"201408","29","19",7412,102568,199343,3489,41811
"201408","1","1",68863,2040504,367802,59364,676002
"201408","27","2",56668,1384165,490536,38372,584815
"201408","4","9",6000,135004,164297,1729,13823
"201408","7","16",759,31203,4268,49,3823
"201408","33","20",1615,44052,51929,390,2790
"201408","2","3",5201,258665,74444,7698,66689
"201408","9","5",3562,183155,52406,4491,51088
"201408","32","17",115,22525,1108,222,2118
"201408","3","6",0,217477,0,4839,57547
"201408","30","10",6001,135112,164430,1957,18015
"201408","34","22",5170,258659,64537,7696,40600
"201408","10","4",3551,188162,52097,4679,54857
"201409","29","19",7527,102570,199596,3513,41879
"201409","33","20",1619,44099,51988,389,2796
"201409","32","17",128,22595,1106,221,2122
"201409","9","5",3649,183260,52480,4517,51182
"201409","4","9",6120,135181,164462,1738,13855
"201409","30","10",6121,135286,164595,1956,18060
"201409","10","4",3638,188263,52172,4696,54964
"201409","34","22",5258,259726,64620,7672,40772
"201409","31","15",0,0,0,0,4
"201409","28","18",5038,190818,111976,3869,45745
"201409","6","21",0,12119,0,68,402
"201409","3","6",0,217594,0,4871,57635
"201409","1","1",69597,2047175,368548,59004,677172
"201409","2","3",5292,259732,74523,7674,66857
"201409","27","2",57432,1386651,491709,38019,585595
"201409","7","16",758,31262,4267,45,3823
"201410","28","18",5036,190946,112166,3897,45848
"201410","1","1",69692,2054176,369770,58682,678351
"201410","34","22",5114,260933,64795,7671,40939
"201410","27","2",57530,1388916,493344,37798,586366
"201410","3","6",0,217697,0,4901,57749
"201410","30","10",6118,135435,164848,1992,18107
"201410","32","17",152,22660,1110,229,2124
"201410","10","4",3622,188354,52328,4727,55081
"201410","9","5",3631,183360,52637,4546,51293
"201410","6","21",0,12190,0,68,404
"201410","4","9",6117,135344,164715,1769,13893
"201410","2","3",5144,260937,74701,7674,67021
"201410","7","16",774,31275,4297,52,3823
"201410","29","19",7536,102563,199924,3530,41972
"201410","33","20",1650,44145,52031,390,2807
"201410","31","15",0,0,0,0,4
"201411","28","18",5025,191091,112331,3926,45910
"201411","1","1",69239,2060789,370704,58580,679515
"201411","30","10",6097,135625,165074,2007,18145
"201411","3","6",0,217798,0,4957,57829
"201411","4","9",6096,135533,164941,1789,13927
"201411","34","22",5114,262140,64888,7688,41095
"201411","9","5",3608,183498,52751,4568,51385
"201411","7","16",713,31334,4324,52,3824
"201411","29","19",7500,102592,200240,3550,42033
"201411","31","15",0,0,0,0,4
"201411","6","21",0,12214,0,70,405
"201411","27","2",57250,1391266,494624,37675,587106
"201411","32","17",161,22744,1113,235,2126
"201411","10","4",3600,188484,52442,4748,55180
"201411","2","3",5144,262145,74794,7689,67177
"201411","33","20",1631,44198,52117,392,2810
"201412","32","17",141,22848,1116,243,2130
"201412","4","9",6102,135741,165144,1807,13965
"201412","29","19",7506,102630,200485,3559,42119
"201412","34","22",5139,263244,64997,7753,41220
"201412","28","18",5015,191260,112456,3942,45997
"201412","3","6",0,217873,0,4932,57960
"201412","27","2",55608,1394033,495427,37492,587875
"201412","33","20",1589,44256,52192,392,2812
"201412","10","4",3614,188623,52559,4762,55291
"201412","1","1",66816,2067709,371162,58555,680639
"201412","9","5",3619,183641,52870,4582,51493
"201412","31","15",0,0,0,0,4
"201412","7","16",682,31411,4364,44,3826
"201412","30","10",6103,135826,165275,2026,18188
"201412","2","3",5169,263249,74903,7754,67301
"201412","6","21",0,12269,0,72,405
"201501","33","20",1564,44304,52257,392,2819
"201501","3","6",0,218060,0,4900,58068
"201501","4","9",6086,135971,165375,1820,13997
"201501","32","17",133,22932,1117,248,2135
"201501","7","16",693,31465,4369,47,3825
"201501","6","21",0,12320,0,74,407
"201501","28","18",5018,191443,112602,3961,46073
"201501","1","1",64386,2075153,371835,58266,681788
"201501","30","10",6087,136055,165504,2031,18230
"201501","10","4",3594,188802,52677,4773,55382
"201501","29","19",7537,102663,200752,3574,42194
"201501","9","5",3598,183827,52989,4592,51579
"201501","27","2",53846,1396929,496432,37225,588601
"201501","34","22",5281,264471,65084,7751,41350
"201501","2","3",5310,264476,74991,7752,67431
"201501","31","15",0,0,0,0,4
"201502","6","21",0,12376,0,73,409
"201502","1","1",61417,2081015,373219,57712,682912
"201502","27","2",51351,1399404,498118,36796,589355
"201502","3","6",0,218098,0,4879,58201
"201502","2","3",5232,265289,75091,7773,67557
"201502","7","16",672,31491,4403,43,3827
"201502","4","9",5925,136189,165616,1820,14038
"201502","34","22",5205,265284,65183,7772,41476
"201502","28","18",4884,191598,112781,3960,46175
"201502","29","19",7373,102697,201089,3571,42289
