PDS,PSG,DRI,T_TFC_ACC,DATE,SOA_FATAL,SOA_SERIOUS,SOA_SLIGHT,VCT_VEHICLE,VCT_PDS,VCT_OBJ,VCT_NONCOL,NO_ISSUE_WARN_8_14PT,NO_ISSUE_SINCE_1984,NO_SUMMON_15PT_MORE,NO_SUMMON_SINCE_1984,NO_DRI_INCUR_PT_5YR,NO_VALID_LIC_TYPE1,NO_VALID_LIC_TYPE2,NO_VALID_LIC_TYPE3,NO_VALID_LIC_TYPE4,NO_NOVER_3YR_EXP_LIC_TYPE1,NO_NOVER_3YR_EXP_LIC_TYPE2,NO_NOVER_3YR_EXP_LIC_TYPE3,NO_OVER_3YR_EXP_LIC_TYPE1,NO_OVER_3YR_EXP_LIC_TYPE2,NO_OVER_3YR_EXP_LIC_TYPE3,ACCIDENT_RATE
231,559,892,1298,2017-07-01,9,168,1121,664,213,80,341,3795,1301711,201,112416,534354,2259023.0,1671.0,51620.0,97121.0,85222.0,385.0,141809.0,720835.0,4545.0,180220.0,0.17496706192358366
232,545,858,1270,2017-08-01,10,178,1082,641,208,78,343,4666,1306377,228,112644,534268,2260197.0,1668.0,51323.0,96187.0,91242.0,389.0,143223.0,722231.0,4547.0,183356.0,0.13737676810972996
277,476,887,1341,2017-09-01,6,168,1167,708,246,70,317,3783,1310160,211,112855,534198,2261517.0,1661.0,51020.0,95043.0,96808.0,389.0,144061.0,723494.0,4551.0,186414.0,0.18715305313243458
260,527,853,1309,2017-10-01,2,157,1150,630,240,76,363,3459,1313619,180,113035,533455,2261928.0,1650.0,50885.0,94482.0,102441.0,396.0,144357.0,724772.0,4551.0,189819.0,0.1821335646140503
279,605,792,1323,2017-11-01,8,110,1205,641,260,51,371,4566,1318185,229,113264,533484,2263474.0,1648.0,50681.0,93114.0,107770.0,398.0,144578.0,725972.0,4552.0,193817.0,0.14038545773105562
271,554,815,1334,2017-12-01,14,129,1191,613,246,59,416,3361,1321546,171,113435,532730,2264019.0,1649.0,50534.0,91886.0,113127.0,405.0,144834.0,727306.0,4557.0,197557.0,0.18238619458494496
283,532,881,1385,2018-01-01,9,176,1200,639,258,78,410,4804,1326350,245,113680,533413,2265809.0,1652.0,50544.0,92735.0,118476.0,401.0,144423.0,728509.0,4559.0,201699.0,0.13301415487094087
229,570,682,1130,2018-02-01,7,122,1001,518,216,62,334,3534,1329884,148,113828,533319,2265160.0,1648.0,50076.0,90225.0,124478.0,408.0,144859.0,729573.0,4561.0,205069.0,0.14657611771363893
258,446,828,1279,2018-03-01,11,120,1148,598,236,62,383,3519,1333403,183,114011,533305,2266726.0,1659.0,49537.0,89670.0,129901.0,397.0,145791.0,730761.0,4566.0,208877.0,0.16993464052287582
259,440,830,1279,2018-04-01,10,140,1129,615,244,67,353,3627,1337030,189,114200,532629,2267950.0,1656.0,49646.0,90450.0,135179.0,397.0,145530.0,731913.0,4569.0,212555.0,0.1695616211745244
254,492,881,1323,2018-05-01,11,147,1165,678,236,57,352,4992,1342022,251,114451,533243,2269734.0,1650.0,49087.0,90603.0,140035.0,397.0,146046.0,733198.0,4571.0,216183.0,0.13581730769230768
265,490,886,1334,2018-06-01,12,140,1182,649,245,80,360,3511,1345533,163,114614,533278,2272167.0,1667.0,48616.0,90221.0,144011.0,391.0,146486.0,734561.0,4575.0,219918.0,0.1848476217601823
267,512,968,1397,2018-07-01,7,143,1247,709,246,85,357,3340,1348873,171,114785,533149,2274626.0,1658.0,48979.0,91293.0,148357.0,404.0,146514.0,735945.0,4578.0,223889.0,0.2122754491017964
243,484,994,1419,2018-08-01,10,147,1262,750,227,96,346,4242,1353115,246,115031,532533,2278526.0,1661.0,49162.0,92054.0,151728.0,397.0,146982.0,737490.0,4585.0,227676.0,0.1768033946251768
256,491,826,1271,2018-09-01,10,111,1150,654,238,64,315,3439,1356554,179,115210,531860,2279666.0,1651.0,49083.0,91637.0,156361.0,403.0,146992.0,738977.0,4589.0,231299.0,0.19017156150043618
303,567,930,1439,2018-10-01,6,183,1250,706,283,61,389,4479,1361033,228,115438,531296,2283358.0,1655.0,49063.0,92590.0,158973.0,400.0,147037.0,740422.0,4592.0,234846.0,0.15762446974771155
287,552,882,1375,2018-11-01,7,132,1236,704,267,56,348,3914,1364947,196,115634,530981,2287686.0,1654.0,49139.0,93089.0,161367.0,394.0,147531.0,741856.0,4599.0,238385.0,0.17986714358712313
302,475,792,1304,2018-12-01,7,121,1176,629,264,71,340,3704,1368651,194,115828,530196,2290097.0,1658.0,49120.0,93493.0,165302.0,394.0,147563.0,743188.0,4603.0,242225.0,0.16981641468682504
256,606,934,1394,2019-01-01,12,180,1202,728,248,64,354,4746,1373397,241,116069,529392,2294558.0,1655.0,49111.0,93120.0,168238.0,394.0,147270.0,744557.0,4607.0,246245.0,0.15339233038348082
